url,title,menu_title,description
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_vTaskSuspend_vTaskResume_oddity_d80e4435j.html,vTaskSuspend/vTaskResume oddity - FreeRTOS,,"vTaskSuspend/vTaskResume oddityPosted by dcrocker on September 10, 2018I had some strange behaviourwhen trying to use these functions. My main task (task1) was doing this: ~~~ vTaskSuspend(task2handle); … // store some variables that task2 will read vTaskResume(task2handle); ~~~ task2 has a higher priority than task1, and task2 spends most of its time waiting for an interrupt, …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_How_to_apply_freertos_patch_251be7fcecj.html,How to apply freertos patch - FreeRTOS,,"How to apply freertos patchPosted by niekiran on September 29, 2018Hello, I downloaded SEGGER systemview files and found that there is an patch file for FreertosV10. Please let me know, how to appy that patch ? I am using windows any command line commands to apply the patch ? Thank you How to apply freertos …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_v10.1.1_Port_Question_xNextTaskUnblockTime_appears_to_be_multiplied_by_1000_9c0ac60dj.html,v10.1.1 Port Question: xNextTaskUnblockTime appears to be multiplied by 1000 - FreeRTOS,,"v10.1.1 Port Question: xNextTaskUnblockTime appears to be multiplied by 1000Posted by westmorelandeng on September 17, 2018Hello All, I’m hoping the answer to this is simple : I’m working on a port – have a lot working: Main timer IRQ is OK – I’ve verified xTickCount to a wall clock, it may not be perfect, but …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Timer_Issue_152dea30j.html,Timer Issue - FreeRTOS,,"Timer Issue Posted by mbedded on September 13, 2018Using the example https://www.freertos.org/FreeRTOS-timers-xTimerCreate.html I get an eror: “error: ‘pxTimer’ was not declared in this scope xTimerStop(pxTimer, 0)” in the function “vTimerCallback” Is there a configuration somewhere I need to set ? I’m using the Arduino_FreeRTOS v10.0.0 Timer Issue Posted by rtel on September 13, 2018pxTimer is …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_msize_function_75ab244646j.html,msize function? - FreeRTOS,,"msize function?Posted by bremenpl on September 25, 2018Hello there, I was wondering either there is a msize function available that would determine the amount of dynamically allocated memory with freertos malloc port function? I would appreciate all help. msize function?Posted by rtel on September 25, 2018FreeRTOS keeps memory allocation in the port layer – so …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Problem_with_Static_Task_Creation_-_TrueStudio_freeRTOS_Invalid_selected_thread_41feb7b7j.html,"Problem with Static Task Creation - TrueStudio, freeRTOS, ""Invalid selected thread"" - FreeRTOS",,"Problem with Static Task Creation – TrueStudio, freeRTOS, “Invalid selected thread”Posted by alho on September 17, 2018Hi, I’m troubleshooting a problem with task creation in freeRTOS, Atollic TrueStudio, STM32. In the first call of xTaskCreateStatic() the code runs into an error: “Invalid selected thread”. When debugging I can see that the pxNewTCB gets initialized correctly …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Deletion_of_FreeRTOS_timer_fails_1affb573j.html,Deletion of FreeRTOS timer fails - FreeRTOS,,"Deletion of FreeRTOS timer failsPosted by saadsaeed on September 18, 2018Hello, I have a question. I am creating 8 timers on certain events. These timers have the same callback function. The problem is that when I delete the 7 every thing works fine. But as soon as I delete the 8 it returns pdFAIL. What …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_EFM32_giant_gecko_MPU_function_5131d5dcj.html,EFM32 giant gecko MPU function - FreeRTOS,,"EFM32 giant gecko MPU functionPosted by asenn on September 3, 2018We currently use the EFM32 Giant Gecko (EFM32GG380F1024) and FreeRTOS with the port ARMCM3. Now we would like to implement the MPU to use as stack protection (https://www.freertos.org/xTaskCreateRestricted.html) Can the Giant Gecko be used with the ARMCM3_MPU port, does it support it? Restrictions: We do …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Thread_does_not_run_48f69c0bj.html,Thread does not run - FreeRTOS,,"Thread does not runPosted by elham on September 2, 2018I have created three threads. One of them has the higher priority than two others and I use a binary semaphore to synchronize it with an ISR. ISR releases semaphore and wakes up the highest priority thread. Other two threads run while the highest priority thread …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_Empty_Stateviewer_task_list_650a01cej.html,Empty Stateviewer task list - FreeRTOS,,"Empty Stateviewer task listPosted by mige on September 14, 2018Hello, I try to integrate the Stateviewer into our new project. We are using Eclipse, GCC, OpenOCD and a STM32 Nucleo Board. So far, only the queue table works but I am more interested in the task table. The error output of the plugin is: ~~~ …"
/FreeRTOS_Support_Forum_Archive/September_2018/freertos_FreeRTOS_libopecm3._The_very_simple_task_hardfault._f404c7ddj.html,FreeRTOS + libopecm3. The very simple task hardfault. - FreeRTOS,,"FreeRTOS + libopecm3. The very simple task hardfault.Posted by nameofuser1 on September 18, 2018I have stucked with integrating FreeRTOS into my libopencm3 project for stm32f205. Finally I reduced the code to the minimal and it still goes to a hardfault. Here is my main code. Just a task and UART. No interrupts, no queues. Just …"
